WardNo,WardName,Population2011,Area(sqkm),Households2011,RoadLength(kms),Lakes,LakeArea(sqkm),Parks,ParkArea(sqkm),Playgrounds,PlaygroundArea(sqm),GovtSchools,PoliceStations,FireStations,BusStops,StreetLights,PopulationDensity2011,DecadalPopnGrowthRate
70,Rajagopal Nagar,61479,2.2,17262,67,0,0,2,4476.28,1,3110,4,1,0,5,2210,"28,249",114.90%
71,Hegganahalli,66314,1.8,18438,56,0,0,2,2943.19,1,6508,6,0,0,13,1895,"37,639",114.70%
72,Herohalli,62272,7.8,16215,184,3,362593,27,110037.05,4,24500,4,0,0,59,3561,"8,035",216.60%
73,Kottegepalya,68922,5.8,17739,139,1,12508,22,64783.08,3,9000,1,0,0,61,5009,"11,784",136.80%
74,"Shakthi GanapathiNagar",43844,0.7,11074,28,1,35048,4,14165.96,1,744,3,0,0,11,1174,"62,558",27.00%
75,Shankar Matt,48734,1.1,12433,40,0,0,16,34953.63,1,499,1,0,0,8,2119,"44,963",36.60%
76,Gayithri Nagar,33236,0.6,8489,28,0,0,3,16947.71,1,1335,0,0,0,9,1457,"51,465",-6.10%
77,"Dattatreya TempleWard",33388,0.7,8325,25,0,0,2,2370.79,1,2957,2,1,0,5,1854,"46,485",-2.50%
78,Pulakeshi Nagar,28835,1.7,6595,41,0,0,11,64726.89,5,35789,3,0,0,31,2278,"16,761",2.40%
79,Sarvagna Nagar,37291,3.6,9052,52,1,58784,7,40254.93,1,1058,4,1,0,16,1008,"10,218",6.70%
80,Hoysala Nagar,35228,2.1,8877,51,0,0,17,67642.01,4,32099,0,1,0,19,2955,"17,131",-1.80%
81,Vijnana Nagar,57062,5.7,15419,106,2,246964,4,9079.55,1,2315,3,0,0,17,2261,"9,935",130.50%
82,Garudachar palya,49631,6.8,13453,70,4,193053,4,17193.93,0,0,6,0,0,23,3663,"7,316",137.20%
83,Kadugodi,43942,11.2,11423,101,1,40073,5,43598.85,0,0,7,2,0,29,3377,"3,934",97.90%
84,Hagadur,50556,12.6,13419,154,3,250263,18,66851.51,3,10654,2,2,0,33,2845,"4,003",95.10%
85,Dodda Nekkundi,63083,12,17755,155,5,695188,28,75082.02,3,15656,0,0,0,34,3997,"5,270",186.50%
86,Marathahalli,39768,3.1,11051,53,0,0,1,9987.51,0,0,6,1,0,10,1461,"12,679",76.80%
87,HAL Airport,39926,6.8,10044,41,0,0,11,71105.52,0,0,3,1,0,26,2455,"5,888",20.70%
88,Jeevanbhima Nagar,38251,1.9,9741,47,0,0,7,21565.77,0,0,4,0,0,16,1618,"20,286",5.80%
89,Jogupalya,33793,0.9,8806,30,0,0,3,4910.3,4,26657,0,1,0,2,2501,"37,452",-2.40%
90,Halsoor,35090,1.7,7771,34,1,438884,9,75990.61,1,2142,4,0,0,9,2576,"20,803",-2.20%
91,Bharathi Nagar,32689,0.8,7074,30,0,0,2,3610.27,0,0,2,1,0,5,1659,"41,815",0.20%
92,Shivaji Nagar,37506,0.4,7276,22,0,0,1,702.84,0,0,3,1,0,2,1631,"87,856",4.90%
93,Vasanth Nagar,22815,3.1,5304,47,0,0,12,555682.41,5,19944,7,1,1,31,1595,"7,286",-11.00%
94,Gandhi Nagar,31208,1.9,6599,38,0,0,18,137209.8,5,53516,6,2,0,16,1909,"16,334",-11.60%
95,Subash Nagar,37693,1.3,8711,27,0,0,6,40208.26,1,15784,3,0,0,13,1191,"28,599",6.40%
96,Okalipuram,38110,0.8,8693,21,0,0,4,17544.52,1,1927,3,0,0,9,1433,"46,279",6.20%
97,Dayananda Nagar,35721,0.4,8253,20,0,0,2,1577.1,3,9090,3,0,0,7,1162,"80,035",3.30%
98,Prakash Nagar,32913,0.6,8276,20,0,0,2,46826.65,1,2886,4,0,0,4,904,"57,730",-7.20%
99,Rajaji Nagar,33084,0.9,8398,27,0,0,8,19480.05,2,8346,1,1,0,13,1367,"38,388",-0.40%
100,Basaveshwara Nagar,30333,0.8,7495,26,1,62606,3,21279.54,5,26494,1,0,0,8,1155,"36,191",12.30%
101,Kamakshipalya,30051,0.9,7482,28,1,11822,5,20814.83,2,10491,2,1,0,15,1561,"33,135",16.70%
